77,udp,REJ,95,195,1,192,27,118,131,0,112,52,30014,eco_i,61310,27300,68010,49067,493,1,1,749,249,0,0,0.12,0.9,8788,46328,2,229,98,324,0.84,0.86,0.47,195,355,0.18,0.88,0.68,0.58,0.21,0.64,0.01,0.65,normal
193,tcp,RSTO,36,168,1,157,155,81,75,0,32,11,49930,ecr_i,25305,78549,39736,63330,63,0,0,474,75,0,0.18,0.28,0.95,59847,37584,88,15,163,193,0.53,0.74,0.61,796,321,0.8,0.96,0.92,0.96,0.23,0.3,0.04,0.25,normal
180,icmp,OTH,154,206,1,30,140,231,89,0,11,138,87318,rje,32601,37246,64541,52161,49,0,0,447,616,0,0.56,0.17,0.31,43427,52316,358,280,110,271,0.06,0.78,0.51,715,446,0.04,0.18,0.35,0.31,0.54,0.2,0.88,0.33,normal
239,tcp,RSTO,230,134,0,186,170,28,249,1,60,26,50409,discard,10764,45172,41147,31844,342,0,0,776,474,0,0.99,0.41,0.76,25895,7254,15,243,58,75,0.83,0.07,0.88,29,148,0.05,0.57,0.71,0.96,0.55,0.87,0,0.12,protocol-command-decode
169,tcp,RSTO,14,195,0,20,135,251,151,0,249,133,53500,telnet,89212,92523,61592,36562,19,0,0,772,970,0,0.59,0.83,0.12,65160,34573,148,390,72,484,0.27,0.58,0.29,627,857,0.7,0.36,0.55,0.46,0.76,0.4,0.54,0.9,normal
154,tcp,S3,156,59,0,41,123,182,216,1,170,137,75668,efs,20146,32601,93300,91899,591,0,0,740,563,0,0.85,0.86,0.27,39492,8858,471,47,265,419,0,0.24,0.67,541,563,0.98,0.07,0.64,0.89,0.42,0.76,0.29,0.58,attempted-admin
170,tcp,RSTOS0,85,126,1,159,251,52,80,0,203,27,9562,kshell,93889,19504,19200,51599,382,0,1,679,986,0,0.06,0.27,0.04,37071,4100,169,69,185,262,0.89,0.7,0.03,689,616,0.19,0.7,0.29,0.61,0.05,0.5,0.19,0.77,normal
113,tcp,S3,83,117,0,58,233,208,9,1,42,129,62326,uucp_path,3370,24952,1852,22773,493,0,1,810,67,0,0.56,0.24,0.48,13101,28685,256,66,340,220,0.13,0.76,0.38,41,169,0.54,0.63,0.9,0.87,0.16,0.59,0.6,0.59,normal
236,tcp,OTH,214,68,0,152,26,128,210,1,64,124,46143,exec,56393,64685,19311,49624,476,0,0,847,415,0,0.85,0.36,0.66,5184,15106,379,191,397,240,0.58,0.92,0.68,481,564,0.43,0.62,0.43,0.85,0.74,0.08,0.62,0.04,normal
122,icmp,RSTO,213,212,1,229,100,128,160,1,244,71,25323,sunrpc,53906,36606,58849,18478,286,1,0,220,605,0,0.91,0.58,0.53,45797,35770,228,136,120,316,0.37,0.01,0.79,387,860,0.14,0.17,0.29,0.03,0.77,0.02,0.72,0.17,normal
183,udp,SF,171,180,0,26,210,71,73,0,245,136,4205,smtp,41453,98224,75295,81348,293,0,1,26,866,0,0.32,0.05,0.8,37017,17475,40,378,343,472,0.19,0.93,0.06,547,108,0.64,0.2,0.67,0.12,0.16,0.24,0.19,0.57,normal
194,udp,RSTO,94,57,1,15,55,39,91,0,96,60,7729,efs,54088,54908,87734,70653,258,1,1,194,361,0,0.72,0.24,0.37,62912,60005,6,251,231,230,0.47,0.25,0.19,970,579,0.53,0.6,0.51,0.53,0.27,0.7,0.5,0.39,normal
249,udp,S3,227,111,1,185,232,233,153,0,136,86,19020,harvest,20463,15631,98277,31598,524,1,0,148,146,0,0.08,0,0.04,22396,44418,75,65,122,352,0.24,0.98,0.89,921,69,0.48,0.55,0.6,0.58,0.62,0.42,0.56,0.28,normal
114,tcp,S2,195,159,1,179,131,157,250,1,163,72,82811,http,54612,44756,19395,38714,315,0,1,815,640,0,0.55,0.8,0.08,12027,17116,207,284,305,283,0.93,0.41,0.26,318,515,0.4,0.05,0.24,0.58,0,0.27,0.39,0.37,bad-unknown
211,icmp,S2,135,242,0,165,183,108,39,1,143,112,6231,domain,22809,15163,26191,10644,700,0,1,819,69,0,0.58,0.58,0.97,2566,7386,284,207,363,342,0.28,0.19,0.52,291,612,0.71,0.52,0.3,0.49,0.01,0.74,0.48,0.03,normal
7,udp,S0,128,228,1,175,86,161,209,1,83,69,97165,link,3135,81359,66615,5990,409,0,0,523,163,0,0.59,0.54,0.62,10536,15108,25,268,99,487,0.38,0.65,0.17,96,898,0.14,0.18,0.15,0.48,0.44,0.72,0.25,0.92,normal
218,udp,RSTR,14,176,1,103,65,165,112,0,75,36,5122,IRC,45290,24864,79858,84017,373,1,0,422,767,0,0.52,0.78,0.04,27939,6969,287,124,140,40,0.38,0.18,0.7,971,440,0.98,0.05,0.32,0.59,0.44,0.77,0.36,0.92,normal
