145,udp,S1,196,42,0,104,10,146,236,0,206,75,11389,eco_i,31017,72107,96118,67054,462,1,1,685,669,0,0.35,0.94,0.32,43534,5929,91,345,246,32,0.27,0.86,0.67,816,761,0.35,0.68,0.59,0.84,0.82,0.38,0.15,0.1,normal
222,tcp,S0,28,244,1,153,229,238,226,1,86,53,98663,finger,50859,698,42720,86738,564,1,1,123,66,0,0,0.34,0.75,51707,13190,352,1,243,449,0.09,0.86,0.59,715,837,0.1,0.63,0.84,0.23,0.52,0.71,0.49,0.39,normal
120,icmp,S1,118,89,0,156,243,222,186,0,229,137,63126,ftp,48395,46647,96473,28507,384,0,1,697,913,0,0.73,0.15,0.95,59944,29995,223,118,300,145,0.37,0.98,0.76,157,960,0.71,0.54,0.15,0.22,0.18,0.37,0.3,0.91,not-suspicious
164,udp,OTH,217,66,0,1,40,240,191,1,108,50,41432,echo,3690,82336,67336,91991,299,1,0,47,804,0,0.93,0.68,0.41,8446,29938,89,377,28,352,0.24,0.22,0.99,158,308,0.75,0.63,0.92,0.91,0.04,0.95,0.86,0.9,denial-of-service
40,udp,RSTOS0,50,136,0,240,46,104,148,0,82,127,19158,sunrpc,15940,20927,55781,21809,142,1,0,879,309,0,0.13,0.29,0.76,8354,6307,16,197,159,74,0.88,0.83,0.57,281,159,0.73,0.65,0.93,0.21,0,0.38,0.58,0.56,normal
209,tcp,RSTR,96,140,1,137,23,79,90,0,253,82,30945,smtp,47364,29473,11497,40249,341,1,1,485,943,0,0.22,0.03,0.62,41318,35734,162,286,72,419,0.02,0.25,0.6,582,660,0.05,0.76,0.09,0.56,0.15,0.48,0.4,0.23,normal
201,udp,SF,108,202,0,232,252,67,249,1,214,63,18625,IRC,70004,81391,46471,42770,413,0,0,351,549,0,0.71,0.53,0.73,5436,52566,3,198,134,194,0.44,0.46,0,697,150,0.07,0.88,0.04,0.4,0.5,0.05,0.73,0.4,successful-recon-largescale
141,udp,S0,115,206,1,62,13,5,5,0,98,128,51743,rje,34840,32050,84749,29437,649,0,1,279,893,0,0.88,0.94,0.02,28622,11464,195,397,226,155,0.67,0.34,0.8,954,437,0.12,0.17,0.88,0.78,0.2,0.6,0.83,0.69,normal
145,icmp,RSTOS0,147,236,0,205,81,207,36,0,170,103,61319,gopher,2126,7344,33129,60933,353,0,1,45,228,0,0.24,0.99,0.98,63787,55975,33,300,20,288,0.58,0.59,0.73,134,255,0.32,0.78,0.3,0.86,0.45,0.39,0.85,0.15,shellcode-detect
139,icmp,SH,47,61,1,122,0,110,64,1,84,33,27255,supdup,77288,19625,3682,39128,425,0,1,748,73,0,0.61,0.59,0.59,38256,46220,363,256,368,81,0.59,0.82,0.55,406,682,0.08,0.88,0.81,0.71,0.77,0.04,0.54,0.44,normal
